iter	Passed	Remaining
0	2	2242
1	4	2061
2	5	1810
3	7	1789
4	8	1601
5	9	1549
6	11	1590
7	12	1586
8	14	1600
9	15	1571
10	16	1515
11	17	1481
12	19	1493
13	20	1476
14	22	1502
15	24	1496
16	25	1493
17	27	1511
18	29	1524
19	30	1517
20	32	1518
21	33	1507
22	35	1493
23	36	1498
24	38	1515
25	40	1505
26	42	1524
27	43	1520
28	46	1546
29	47	1548
30	49	1534
31	50	1533
32	52	1523
33	53	1516
34	54	1505
35	56	1503
36	58	1513
37	60	1530
38	61	1523
39	62	1507
40	64	1500
41	65	1490
42	66	1490
43	68	1492
44	70	1492
45	72	1493
46	73	1500
47	75	1499
48	76	1493
49	78	1491
50	79	1486
51	81	1477
52	82	1473
53	83	1461
54	84	1449
55	85	1439
56	86	1426
57	87	1421
58	89	1421
59	90	1417
60	91	1413
61	93	1410
62	94	1406
63	96	1406
64	97	1405
65	99	1401
66	100	1401
67	102	1409
68	104	1407
69	105	1402
70	107	1400
71	108	1397
72	109	1393
73	111	1390
74	112	1389
75	113	1383
76	115	1379
77	116	1377
78	117	1374
79	119	1370
80	120	1363
81	121	1357
82	122	1351
83	123	1345
84	124	1339
85	125	1333
86	126	1326
87	127	1320
88	128	1314
89	129	1308
90	130	1301
91	131	1297
92	132	1292
93	133	1287
94	134	1283
95	135	1278
96	136	1273
97	137	1267
98	138	1260
99	139	1254
100	140	1247
101	140	1240
102	141	1234
103	142	1227
104	143	1221
105	144	1216
106	144	1209
107	145	1205
108	147	1202
109	148	1198
110	149	1194
111	150	1192
112	151	1187
113	152	1182
114	152	1177
115	153	1172
116	154	1167
117	155	1161
118	156	1156
119	156	1151
120	157	1143
121	158	1138
122	158	1133
123	159	1129
124	161	1127
125	162	1125
126	163	1124
127	164	1121
128	165	1117
129	166	1114
130	167	1110
131	168	1108
132	169	1105
133	170	1102
134	171	1098
135	172	1094
136	174	1099
137	175	1099
138	177	1098
139	178	1097
140	179	1094
141	180	1090
142	181	1086
143	182	1084
144	183	1081
145	184	1077
146	185	1074
147	186	1071
148	187	1068
149	188	1068
150	189	1067
151	191	1067
152	192	1066
153	193	1064
154	195	1063
155	196	1061
156	197	1059
157	198	1058
158	199	1056
159	201	1056
160	202	1055
161	203	1053
162	204	1052
163	206	1051
164	207	1050
165	208	1048
166	209	1047
167	210	1044
168	212	1043
169	213	1042
170	215	1044
171	216	1042
172	217	1038
173	218	1037
174	219	1035
